== MERGED ==
72844/44920_512 void=62.5% filled=163949px [1667..1810m]
72845/44920 void=62.6% filled=41018px [1744..1957m]
72845/44920_512 void=62.6% filled=163981px [1744..1957m]
72846/44920 void=62.6% filled=41015px [1912..2088m]
72846/44920_512 void=62.5% filled=163955px [1911..2088m]
72847/44920 void=62.6% filled=41020px [2023..2218m]
72847/44920_512 void=62.5% filled=163969px [2023..2218m]
72848/44920 void=62.6% filled=41015px [2070..2256m]
72848/44920_512 void=62.5% filled=163954px [2070..2256m]
72849/44920 void=62.6% filled=41016px [2016..2108m]
72849/44920_512 void=62.5% filled=163938px [2016..2109m]
72850/44920 void=62.6% filled=41008px [2001..2033m]
72850/44920_512 void=62.5% filled=163947px [2001..2033m]
72851/44897 void=7.4% filled=4848px [1399..1463m]
72851/44897_512 void=7.4% filled=19502px [1399..1463m]
72851/44898 void=8.9% filled=5816px [1460..1540m]
72851/44898_512 void=8.9% filled=23303px [1460..1540m]
72851/44899 void=8.9% filled=5817px [1536..1611m]
72851/44899_512 void=8.9% filled=23325px [1536..1611m]
72851/44900 void=8.9% filled=5807px [1606..1698m]
72851/44900_512 void=8.9% filled=23269px [1606..1698m]
72851/44901 void=8.9% filled=5806px [1676..1697m]
72851/44901_512 void=8.9% filled=23276px [1676..1697m]
72851/44902 void=8.9% filled=5807px [1676..1678m]
72851/44902_512 void=8.9% filled=23278px [1676..1678m]
72851/44903 void=8.9% filled=5806px [1676..1701m]
72851/44903_512 void=8.9% filled=23278px [1676..1701m]
72851/44904 void=8.9% filled=5805px [1699..1702m]
72851/44904_512 void=8.9% filled=23287px [1699..1702m]
72851/44905 void=8.9% filled=5806px [1699..1700m]
72851/44905_512 void=8.9% filled=23303px [1699..1700m]
72851/44906 void=8.9% filled=5818px [1699..1754m]
72851/44906_512 void=8.9% filled=23308px [1699..1754m]
72851/44907 void=8.9% filled=5817px [1752..1914m]
72851/44907_512 void=8.9% filled=23314px [1752..1914m]
72851/44908 void=8.9% filled=5815px [1911..2091m]
72851/44908_512 void=8.9% filled=23306px [1910..2091m]
72851/44909 void=8.9% filled=5807px [2003..2022m]
72851/44909_512 void=8.9% filled=23275px [2003..2022m]
72851/44910 void=8.9% filled=5808px [2016..2208m]
72851/44910_512 void=8.9% filled=23286px [2016..2209m]
72851/44911 void=8.9% filled=5807px [2039..2255m]
72851/44911_512 void=8.9% filled=23281px [2039..2255m]
72851/44912 void=8.9% filled=5806px [1925..2041m]
72851/44912_512 void=8.9% filled=23282px [1925..2041m]
72851/44913 void=8.9% filled=5808px [1923..1973m]
72851/44913_512 void=8.9% filled=23302px [1922..1973m]
72851/44914 void=8.9% filled=5811px [1966..2064m]
72851/44914_512 void=8.9% filled=23303px [1966..2065m]
72851/44915 void=8.9% filled=5816px [2050..2224m]
72851/44915_512 void=8.9% filled=23306px [2050..2225m]
72851/44916 void=8.9% filled=5816px [2218..2552m]
72851/44916_512 void=8.9% filled=23322px [2218..2552m]
72851/44917 void=8.9% filled=5808px [2360..2533m]
72851/44917_512 void=8.9% filled=23273px [2358..2533m]
72851/44918 void=8.9% filled=5807px [2215..2377m]
72851/44918_512 void=8.9% filled=23284px [2214..2377m]
72851/44919 void=8.9% filled=5807px [2162..2261m]
72851/44919_512 void=8.9% filled=23288px [2161..2260m]
72851/44920 void=65.9% filled=43187px [2001..2222m]
72851/44920_512 void=65.9% filled=172717px [2001..2223m]
72852/44897 void=83.7% filled=54879px [1392..1507m]
72852/44897_512 void=83.7% filled=219489px [1392..1507m]
72853/44897 void=83.7% filled=54880px [1413..1590m]
72853/44897_512 void=83.7% filled=219476px [1413..1590m]
72854/44897 void=83.7% filled=54881px [1247..1503m]
72854/44897_512 void=83.7% filled=219478px [1247..1504m]
72855/44897 void=83.7% filled=54872px [1172..1308m]
72855/44897_512 void=83.7% filled=219472px [1172..1308m]
72856/44897 void=83.7% filled=54873px [1170..1213m]
72856/44897_512 void=83.7% filled=219482px [1170..1213m]
72857/44897 void=83.7% filled=54873px [1200..1258m]
72857/44897_512 void=83.7% filled=219465px [1200..1258m]
72858/44897 void=83.7% filled=54873px [1246..1361m]
72858/44897_512 void=83.7% filled=219463px [1245..1361m]
72859/44897 void=83.7% filled=54872px [1331..1528m]
72859/44897_512 void=83.7% filled=219463px [1331..1529m]
72860/44897 void=83.7% filled=54877px [1419..1580m]
72860/44897_512 void=83.7% filled=219485px [1419..1581m]
72861/44897 void=83.7% filled=54879px [1434..1585m]
72861/44897_512 void=83.7% filled=219487px [1434..1585m]
72862/44897 void=83.7% filled=54878px [1468..1628m]
72862/44897_512 void=83.7% filled=219488px [1468..1628m]
72863/44873 void=4.8% filled=3154px [1258..1321m]
72863/44873_512 void=4.8% filled=12570px [1257..1321m]
72863/44874 void=71.1% filled=46607px [1186..1314m]
72863/44874_512 void=71.1% filled=186400px [1186..1314m]
72863/44875 void=71.1% filled=46609px [1157..1231m]
72863/44875_512 void=71.1% filled=186398px [1157..1232m]
72863/44876 void=71.1% filled=46603px [1159..1233m]
72863/44876_512 void=71.1% filled=186394px [1159..1234m]
72863/44877 void=71.1% filled=46609px [1210..1335m]
72863/44877_512 void=71.1% filled=186398px [1209..1335m]
72863/44878 void=71.1% filled=46607px [1299..1414m]
72863/44878_512 void=71.1% filled=186399px [1299..1414m]
72863/44879 void=71.1% filled=46604px [1264..1403m]
72863/44879_512 void=71.1% filled=186394px [1263..1403m]
72863/44880 void=71.1% filled=46608px [1263..1380m]
72863/44880_512 void=71.1% filled=186400px [1263..1380m]
72863/44881 void=71.1% filled=46605px [1319..1462m]
72863/44881_512 void=71.1% filled=186398px [1319..1462m]
72863/44882 void=71.1% filled=46606px [1440..1578m]
72863/44882_512 void=71.1% filled=186394px [1440..1578m]
72863/44883 void=71.1% filled=46606px [1453..1579m]
72863/44883_512 void=71.1% filled=186403px [1453..1579m]
72863/44884 void=71.1% filled=46604px [1431..1535m]
72863/44884_512 void=71.1% filled=186402px [1431..1535m]
72863/44885 void=71.1% filled=46607px [1492..1611m]
72863/44885_512 void=71.1% filled=186401px [1491..1611m]
72863/44886 void=71.1% filled=46607px [1511..1646m]
72863/44886_512 void=71.1% filled=186406px [1510..1646m]
72863/44887 void=71.1% filled=46605px [1568..1743m]
72863/44887_512 void=71.1% filled=186406px [1568..1743m]
72863/44888 void=71.1% filled=46613px [1638..1817m]
72863/44888_512 void=71.1% filled=186410px [1637..1817m]
72863/44889 void=71.1% filled=46611px [1752..1832m]
72863/44889_512 void=71.1% filled=186408px [1752..1832m]
72863/44890 void=71.1% filled=46604px [1803..1888m]
72863/44890_512 void=71.1% filled=186397px [1803..1888m]
72863/44891 void=71.1% filled=46608px [1820..1911m]
72863/44891_512 void=71.1% filled=186394px [1820..1911m]
72863/44892 void=71.1% filled=46606px [1843..1963m]
72863/44892_512 void=71.1% filled=186395px [1843..1963m]
72863/44893 void=71.1% filled=46602px [1903..1986m]
72863/44893_512 void=71.1% filled=186387px [1903..1986m]
72863/44894 void=71.1% filled=46605px [1902..2011m]
72863/44894_512 void=71.1% filled=186392px [1902..2011m]
72863/44895 void=71.1% filled=46610px [1770..1961m]
72863/44895_512 void=71.1% filled=186398px [1769..1961m]
72863/44896 void=71.1% filled=46607px [1654..1831m]
72863/44896_512 void=71.1% filled=186394px [1653..1831m]
72863/44897 void=95.3% filled=62465px [1541..1701m]
72863/44897_512 void=95.3% filled=249830px [1541..1701m]
72864/44873 void=6.8% filled=4433px [1218..1261m]
72864/44873_512 void=6.7% filled=17672px [1218..1262m]
72865/44873 void=6.8% filled=4432px [1157..1221m]
72865/44873_512 void=6.7% filled=17669px [1157..1221m]
72866/44873 void=6.8% filled=4431px [1120..1163m]
72866/44873_512 void=6.7% filled=17672px [1119..1163m]
72867/44873 void=6.8% filled=4432px [1073..1127m]
72867/44873_512 void=6.7% filled=17681px [1073..1128m]
72868/44873 void=6.8% filled=4432px [1073..1142m]
72868/44873_512 void=6.7% filled=17676px [1073..1142m]
72869/44873 void=6.8% filled=4433px [1137..1155m]
72869/44873_512 void=6.7% filled=17676px [1137..1156m]
72870/44873 void=6.8% filled=4433px [1141..1264m]
72870/44873_512 void=6.7% filled=17690px [1141..1264m]
72871/44873 void=6.8% filled=4431px [1264..1379m]
72871/44873_512 void=6.7% filled=17672px [1264..1379m]
72872/44873 void=6.8% filled=4432px [1234..1380m]
72872/44873_512 void=6.7% filled=17681px [1233..1381m]
72873/44873 void=6.8% filled=4430px [1105..1239m]
72873/44873_512 void=6.7% filled=17685px [1105..1240m]
72874/44860 void=33.3% filled=12822px [954..962m]
72874/44860_512 void=33.3% filled=51250px [954..962m]
72874/44861 void=33.3% filled=21853px [956..961m]
72874/44861_512 void=33.3% filled=87395px [956..961m]
72874/44862 void=33.3% filled=21854px [955..995m]
72874/44862_512 void=33.3% filled=87400px [955..995m]
72874/44863 void=33.3% filled=21854px [980..1063m]
72874/44863_512 void=33.3% filled=87395px [980..1063m]
72874/44864 void=33.3% filled=21856px [1058..1150m]
72874/44864_512 void=33.3% filled=87390px [1058..1150m]
72874/44865 void=33.3% filled=21854px [1116..1163m]
72874/44865_512 void=33.3% filled=87387px [1116..1163m]
72874/44866 void=33.3% filled=21854px [1037..1154m]
72874/44866_512 void=33.3% filled=87384px [1037..1154m]
72874/44867 void=33.3% filled=21856px [1013..1065m]
72874/44867_512 void=33.3% filled=87399px [1013..1065m]
72874/44868 void=33.3% filled=21856px [1019..1147m]
72874/44868_512 void=33.3% filled=87392px [1019..1147m]
72874/44869 void=33.4% filled=21857px [1097..1323m]
72874/44869_512 void=33.3% filled=87404px [1097..1323m]
72874/44870 void=33.3% filled=21856px [1182..1363m]
72874/44870_512 void=33.3% filled=87397px [1182..1363m]
72874/44871 void=33.3% filled=21856px [1109..1217m]
72874/44871_512 void=33.3% filled=87394px [1109..1217m]
72874/44872 void=33.3% filled=21855px [1080..1121m]
72874/44872_512 void=33.3% filled=87388px [1080..1121m]
72874/44873 void=37.8% filled=24802px [1080..1110m]
72874/44873_512 void=37.8% filled=99149px [1080..1111m]
== CREATED ==
72565/44930 cov=100.0% [851..970m] @(49.1494,19.3057)
72565/44931 cov=99.8% [792..878m] @(49.1476,19.3057)
72566/44930 cov=100.0% [878..1010m] @(49.1494,19.3085)
72566/44931 cov=100.0% [835..976m] @(49.1476,19.3085)
72567/44930 cov=100.0% [888..1008m] @(49.1494,19.3112)
72567/44931 cov=100.0% [894..1077m] @(49.1476,19.3112)
72566/44932 cov=100.0% [853..1005m] @(49.1458,19.3085)
72566/44933 cov=100.0% [950..1094m] @(49.1440,19.3085)
72567/44932 cov=100.0% [976..1116m] @(49.1458,19.3112)
72567/44933 cov=100.0% [975..1131m] @(49.1440,19.3112)
72566/44934 cov=100.0% [972..1120m] @(49.1422,19.3085)
72566/44935 cov=100.0% [973..1130m] @(49.1404,19.3085)
72567/44934 cov=100.0% [1095..1196m] @(49.1422,19.3112)
72567/44935 cov=100.0% [1030..1197m] @(49.1404,19.3112)
72566/44936 cov=100.0% [951..1141m] @(49.1386,19.3085)
72566/44937 cov=100.0% [838..1064m] @(49.1368,19.3085)
72567/44936 cov=100.0% [905..1141m] @(49.1386,19.3112)
72567/44937 cov=100.0% [818..950m] @(49.1368,19.3112)
72566/44938 cov=100.0% [773..875m] @(49.1350,19.3085)
72566/44939 cov=100.0% [722..795m] @(49.1332,19.3085)
72567/44938 cov=100.0% [765..844m] @(49.1350,19.3112)
72567/44939 cov=100.0% [742..826m] @(49.1332,19.3112)
72566/44940 cov=100.0% [685..746m] @(49.1314,19.3085)
72566/44941 cov=100.0% [682..738m] @(49.1296,19.3085)
72567/44940 cov=100.0% [736..822m] @(49.1314,19.3112)
72567/44941 cov=100.0% [729..801m] @(49.1296,19.3112)
72566/44942 cov=100.0% [676..728m] @(49.1278,19.3085)
72566/44943 cov=100.0% [647..709m] @(49.1260,19.3085)
72567/44942 cov=100.0% [709..768m] @(49.1278,19.3112)
72567/44943 cov=100.0% [665..727m] @(49.1260,19.3112)
72566/44944 cov=100.0% [619..694m] @(49.1242,19.3085)
72566/44945 cov=99.5% [597..660m] @(49.1224,19.3085)
72567/44944 cov=100.0% [621..708m] @(49.1242,19.3112)
72567/44945 cov=100.0% [617..719m] @(49.1224,19.3112)
72568/44930 cov=100.0% [957..1101m] @(49.1494,19.3140)
72568/44931 cov=100.0% [963..1100m] @(49.1476,19.3140)
72569/44930 cov=100.0% [1060..1152m] @(49.1494,19.3167)
72569/44931 cov=100.0% [1063..1160m] @(49.1476,19.3167)
72568/44932 cov=100.0% [1077..1183m] @(49.1458,19.3140)
72568/44933 cov=100.0% [1101..1217m] @(49.1440,19.3140)
72569/44932 cov=100.0% [1089..1218m] @(49.1458,19.3167)
72569/44933 cov=100.0% [1184..1269m] @(49.1440,19.3167)
72568/44934 cov=100.0% [1131..1221m] @(49.1422,19.3140)
72568/44935 cov=100.0% [1019..1198m] @(49.1404,19.3140)
72569/44934 cov=100.0% [1132..1263m] @(49.1422,19.3167)
72569/44935 cov=100.0% [1010..1153m] @(49.1404,19.3167)
72568/44936 cov=100.0% [892..1046m] @(49.1386,19.3140)
72568/44937 cov=100.0% [842..1008m] @(49.1368,19.3140)
72569/44936 cov=100.0% [988..1102m] @(49.1386,19.3167)
72569/44937 cov=100.0% [963..1105m] @(49.1368,19.3167)
72568/44938 cov=100.0% [817..977m] @(49.1350,19.3140)
72568/44939 cov=100.0% [814..987m] @(49.1332,19.3140)
72569/44938 cov=100.0% [938..1128m] @(49.1350,19.3167)
72569/44939 cov=100.0% [932..1136m] @(49.1332,19.3167)
72568/44940 cov=100.0% [802..957m] @(49.1314,19.3140)
72568/44941 cov=100.0% [768..959m] @(49.1296,19.3140)
72569/44940 cov=100.0% [928..1085m] @(49.1314,19.3167)
72569/44941 cov=100.0% [802..985m] @(49.1296,19.3167)
72568/44942 cov=100.0% [704..802m] @(49.1278,19.3140)
72568/44943 cov=100.0% [667..726m] @(49.1260,19.3140)
72569/44942 cov=100.0% [722..824m] @(49.1278,19.3167)
72569/44943 cov=100.0% [696..774m] @(49.1260,19.3167)
72568/44944 cov=100.0% [648..759m] @(49.1242,19.3140)
72568/44945 cov=100.0% [662..850m] @(49.1224,19.3140)
72569/44944 cov=100.0% [726..864m] @(49.1242,19.3167)
72569/44945 cov=100.0% [759..919m] @(49.1224,19.3167)
72570/44930 cov=100.0% [1080..1190m] @(49.1494,19.3195)
72570/44931 cov=100.0% [1132..1223m] @(49.1476,19.3195)
72571/44930 cov=100.0% [1136..1272m] @(49.1494,19.3222)
72571/44931 cov=100.0% [1137..1246m] @(49.1476,19.3222)
72570/44932 cov=100.0% [1156..1268m] @(49.1458,19.3195)
72570/44933 cov=100.0% [1197..1268m] @(49.1440,19.3195)
72571/44932 cov=100.0% [1220..1272m] @(49.1458,19.3222)
72571/44933 cov=100.0% [1151..1269m] @(49.1440,19.3222)
72570/44934 cov=100.0% [1104..1259m] @(49.1422,19.3195)
72570/44935 cov=100.0% [1024..1155m] @(49.1404,19.3195)
72571/44934 cov=100.0% [1087..1196m] @(49.1422,19.3222)
72571/44935 cov=100.0% [1048..1151m] @(49.1404,19.3222)
72570/44936 cov=100.0% [1023..1124m] @(49.1386,19.3195)
72570/44937 cov=100.0% [1073..1143m] @(49.1368,19.3195)
72571/44936 cov=100.0% [1050..1141m] @(49.1386,19.3222)
72571/44937 cov=100.0% [1094..1189m] @(49.1368,19.3222)
72570/44938 cov=100.0% [1076..1182m] @(49.1350,19.3195)
72570/44939 cov=100.0% [1085..1184m] @(49.1332,19.3195)
72571/44938 cov=100.0% [1143..1204m] @(49.1350,19.3222)
72571/44939 cov=100.0% [1076..1186m] @(49.1332,19.3222)
72570/44940 cov=100.0% [930..1105m] @(49.1314,19.3195)
72570/44941 cov=100.0% [805..956m] @(49.1296,19.3195)
72571/44940 cov=100.0% [911..1099m] @(49.1314,19.3222)
72571/44941 cov=100.0% [789..936m] @(49.1296,19.3222)
72570/44942 cov=100.0% [734..827m] @(49.1278,19.3195)
72570/44943 cov=100.0% [720..831m] @(49.1260,19.3195)
72571/44942 cov=100.0% [756..819m] @(49.1278,19.3222)
72571/44943 cov=100.0% [774..910m] @(49.1260,19.3222)
72570/44944 cov=100.0% [774..996m] @(49.1242,19.3195)
72570/44945 cov=100.0% [865..1029m] @(49.1224,19.3195)
72571/44944 cov=100.0% [832..1058m] @(49.1242,19.3222)
72571/44945 cov=100.0% [995..1138m] @(49.1224,19.3222)
72572/44930 cov=100.0% [1208..1312m] @(49.1494,19.3250)
72572/44931 cov=100.0% [1209..1282m] @(49.1476,19.3250)
72573/44930 cov=100.0% [1283..1345m] @(49.1494,19.3277)
72573/44931 cov=100.0% [1253..1298m] @(49.1476,19.3277)
72572/44932 cov=100.0% [1235..1264m] @(49.1458,19.3250)
72572/44933 cov=100.0% [1165..1273m] @(49.1440,19.3250)
72573/44932 cov=100.0% [1235..1260m] @(49.1458,19.3277)
72573/44933 cov=100.0% [1235..1300m] @(49.1440,19.3277)
72572/44934 cov=100.0% [1145..1282m] @(49.1422,19.3250)
72572/44935 cov=100.0% [1097..1249m] @(49.1404,19.3250)
72573/44934 cov=100.0% [1250..1311m] @(49.1422,19.3277)
72573/44935 cov=100.0% [1164..1283m] @(49.1404,19.3277)
72572/44936 cov=100.0% [1101..1190m] @(49.1386,19.3250)
72572/44937 cov=100.0% [1142..1237m] @(49.1368,19.3250)
72573/44936 cov=100.0% [1169..1256m] @(49.1386,19.3277)
72573/44937 cov=100.0% [1181..1287m] @(49.1368,19.3277)
72572/44938 cov=100.0% [1157..1240m] @(49.1350,19.3250)
72572/44939 cov=100.0% [1014..1176m] @(49.1332,19.3250)
72573/44938 cov=100.0% [1164..1285m] @(49.1350,19.3277)
72573/44939 cov=100.0% [1052..1192m] @(49.1332,19.3277)
72572/44940 cov=100.0% [897..1085m] @(49.1314,19.3250)
72572/44941 cov=100.0% [796..932m] @(49.1296,19.3250)
72573/44940 cov=100.0% [900..1088m] @(49.1314,19.3277)
72573/44941 cov=100.0% [827..948m] @(49.1296,19.3277)
72572/44942 cov=100.0% [782..863m] @(49.1278,19.3250)
72572/44943 cov=100.0% [820..975m] @(49.1260,19.3250)
72573/44942 cov=100.0% [814..895m] @(49.1278,19.3277)
72573/44943 cov=100.0% [863..977m] @(49.1260,19.3277)
72572/44944 cov=100.0% [905..1086m] @(49.1242,19.3250)
72572/44945 cov=100.0% [1044..1190m] @(49.1224,19.3250)
72573/44944 cov=100.0% [934..1090m] @(49.1242,19.3277)
72573/44945 cov=100.0% [1023..1182m] @(49.1224,19.3277)
72574/44930 cov=100.0% [1298..1400m] @(49.1494,19.3304)
72574/44931 cov=100.0% [1260..1322m] @(49.1476,19.3304)
72575/44930 cov=100.0% [1323..1475m] @(49.1494,19.3332)
72575/44931 cov=100.0% [1276..1375m] @(49.1476,19.3332)
72574/44932 cov=100.0% [1232..1276m] @(49.1458,19.3304)
72574/44933 cov=100.0% [1200..1300m] @(49.1440,19.3304)
72575/44932 cov=100.0% [1236..1294m] @(49.1458,19.3332)
72575/44933 cov=100.0% [1148..1240m] @(49.1440,19.3332)
72574/44934 cov=100.0% [1237..1310m] @(49.1422,19.3304)
72574/44935 cov=100.0% [1239..1289m] @(49.1404,19.3304)
72575/44934 cov=100.0% [1135..1261m] @(49.1422,19.3332)
72575/44935 cov=100.0% [1170..1293m] @(49.1404,19.3332)
72574/44936 cov=100.0% [1243..1295m] @(49.1386,19.3304)
72574/44937 cov=100.0% [1249..1289m] @(49.1368,19.3304)
72575/44936 cov=100.0% [1217..1301m] @(49.1386,19.3332)
72575/44937 cov=100.0% [1251..1288m] @(49.1368,19.3332)
72574/44938 cov=100.0% [1150..1283m] @(49.1350,19.3304)
72574/44939 cov=100.0% [1068..1191m] @(49.1332,19.3304)
72575/44938 cov=100.0% [1151..1274m] @(49.1350,19.3332)
72575/44939 cov=100.0% [1096..1203m] @(49.1332,19.3332)
72574/44940 cov=100.0% [946..1096m] @(49.1314,19.3304)
72574/44941 cov=100.0% [896..1052m] @(49.1296,19.3304)
72575/44940 cov=100.0% [1028..1114m] @(49.1314,19.3332)
72575/44941 cov=100.0% [954..1076m] @(49.1296,19.3332)
72574/44942 cov=100.0% [853..953m] @(49.1278,19.3304)
72574/44943 cov=100.0% [871..1013m] @(49.1260,19.3304)
72575/44942 cov=100.0% [903..988m] @(49.1278,19.3332)
72575/44943 cov=100.0% [921..1070m] @(49.1260,19.3332)
72574/44944 cov=100.0% [921..1087m] @(49.1242,19.3304)
72574/44945 cov=100.0% [1005..1156m] @(49.1224,19.3304)
72575/44944 cov=100.0% [1014..1192m] @(49.1242,19.3332)
72575/44945 cov=100.0% [1087..1207m] @(49.1224,19.3332)
72576/44930 cov=100.0% [1376..1489m] @(49.1494,19.3359)
72576/44931 cov=100.0% [1281..1395m] @(49.1476,19.3359)
72577/44930 cov=100.0% [1387..1509m] @(49.1494,19.3387)
72577/44931 cov=100.0% [1275..1418m] @(49.1476,19.3387)
72576/44932 cov=100.0% [1191..1298m] @(49.1458,19.3359)
72576/44933 cov=100.0% [1144..1238m] @(49.1440,19.3359)
72577/44932 cov=100.0% [1218..1318m] @(49.1458,19.3387)
72577/44933 cov=100.0% [1146..1241m] @(49.1440,19.3387)
72576/44934 cov=100.0% [1101..1187m] @(49.1422,19.3359)
72576/44935 cov=100.0% [1070..1216m] @(49.1404,19.3359)
72577/44934 cov=100.0% [1133..1250m] @(49.1422,19.3387)
72577/44935 cov=100.0% [1036..1189m] @(49.1404,19.3387)
72576/44936 cov=100.0% [1093..1283m] @(49.1386,19.3359)
72576/44937 cov=100.0% [1158..1288m] @(49.1368,19.3359)
72577/44936 cov=100.0% [1007..1158m] @(49.1386,19.3387)
72577/44937 cov=100.0% [1068..1259m] @(49.1368,19.3387)
72576/44938 cov=100.0% [1187..1274m] @(49.1350,19.3359)
72576/44939 cov=100.0% [1112..1204m] @(49.1332,19.3359)
72577/44938 cov=100.0% [1166..1255m] @(49.1350,19.3387)
72577/44939 cov=100.0% [1133..1192m] @(49.1332,19.3387)
72576/44940 cov=100.0% [1077..1134m] @(49.1314,19.3359)
72576/44941 cov=100.0% [980..1113m] @(49.1296,19.3359)
72577/44940 cov=100.0% [1111..1195m] @(49.1314,19.3387)
72577/44941 cov=100.0% [1030..1190m] @(49.1296,19.3387)
72576/44942 cov=100.0% [958..1078m] @(49.1278,19.3359)
72576/44943 cov=100.0% [988..1170m] @(49.1260,19.3359)
72577/44942 cov=100.0% [1020..1110m] @(49.1278,19.3387)
72577/44943 cov=100.0% [1073..1191m] @(49.1260,19.3387)
72576/44944 cov=100.0% [1064..1248m] @(49.1242,19.3359)
72576/44945 cov=100.0% [1192..1250m] @(49.1224,19.3359)
72577/44944 cov=100.0% [1097..1245m] @(49.1242,19.3387)
72577/44945 cov=100.0% [1042..1243m] @(49.1224,19.3387)
72578/44930 cov=100.0% [1419..1555m] @(49.1494,19.3414)
72578/44931 cov=100.0% [1314..1445m] @(49.1476,19.3414)
72579/44930 cov=100.0% [1350..1558m] @(49.1494,19.3442)
72579/44931 cov=100.0% [1328..1449m] @(49.1476,19.3442)
72578/44932 cov=100.0% [1228..1390m] @(49.1458,19.3414)
72578/44933 cov=100.0% [1205..1338m] @(49.1440,19.3414)
72579/44932 cov=100.0% [1334..1465m] @(49.1458,19.3442)
72579/44933 cov=100.0% [1294..1397m] @(49.1440,19.3442)
72578/44934 cov=100.0% [1178..1336m] @(49.1422,19.3414)
72578/44935 cov=100.0% [1051..1256m] @(49.1404,19.3414)
72579/44934 cov=100.0% [1199..1374m] @(49.1422,19.3442)
72579/44935 cov=100.0% [1047..1254m] @(49.1404,19.3442)
72578/44936 cov=100.0% [960..1076m] @(49.1386,19.3414)
72578/44937 cov=100.0% [959..1178m] @(49.1368,19.3414)
72579/44936 cov=100.0% [959..1091m] @(49.1386,19.3442)
72579/44937 cov=100.0% [913..1021m] @(49.1368,19.3442)
72578/44938 cov=100.0% [1022..1198m] @(49.1350,19.3414)
72578/44939 cov=100.0% [1102..1214m] @(49.1332,19.3414)
72579/44938 cov=100.0% [930..1114m] @(49.1350,19.3442)
72579/44939 cov=100.0% [971..1148m] @(49.1332,19.3442)
72578/44940 cov=100.0% [1142..1219m] @(49.1314,19.3414)
72578/44941 cov=100.0% [1051..1216m] @(49.1296,19.3414)
72579/44940 cov=100.0% [993..1151m] @(49.1314,19.3442)
72579/44941 cov=100.0% [960..1145m] @(49.1296,19.3442)
72578/44942 cov=100.0% [971..1125m] @(49.1278,19.3414)
72578/44943 cov=100.0% [962..1102m] @(49.1260,19.3414)
72579/44942 cov=100.0% [910..1051m] @(49.1278,19.3442)
72579/44943 cov=100.0% [875..970m] @(49.1260,19.3442)
72578/44944 cov=100.0% [970..1167m] @(49.1242,19.3414)
72578/44945 cov=100.0% [957..1149m] @(49.1224,19.3414)
72579/44944 cov=100.0% [890..982m] @(49.1242,19.3442)
72579/44945 cov=100.0% [895..978m] @(49.1224,19.3442)
72580/44930 cov=100.0% [1228..1389m] @(49.1494,19.3469)
72580/44931 cov=100.0% [1193..1370m] @(49.1476,19.3469)
72581/44930 cov=100.0% [1166..1261m] @(49.1494,19.3497)
72581/44931 cov=100.0% [1098..1231m] @(49.1476,19.3497)
72580/44932 cov=100.0% [1218..1394m] @(49.1458,19.3469)
72580/44933 cov=100.0% [1165..1336m] @(49.1440,19.3469)
72581/44932 cov=100.0% [1128..1240m] @(49.1458,19.3497)
72581/44933 cov=100.0% [1084..1218m] @(49.1440,19.3497)
72580/44934 cov=100.0% [1115..1337m] @(49.1422,19.3469)
72580/44935 cov=100.0% [1035..1196m] @(49.1404,19.3469)
72581/44934 cov=100.0% [1073..1164m] @(49.1422,19.3497)
72581/44935 cov=100.0% [1010..1114m] @(49.1404,19.3497)
72580/44936 cov=100.0% [954..1052m] @(49.1386,19.3469)
72580/44937 cov=100.0% [887..965m] @(49.1368,19.3469)
72581/44936 cov=100.0% [949..1035m] @(49.1386,19.3497)
72581/44937 cov=100.0% [893..978m] @(49.1368,19.3497)
72580/44938 cov=100.0% [873..971m] @(49.1350,19.3469)
72580/44939 cov=100.0% [905..1025m] @(49.1332,19.3469)
72581/44938 cov=100.0% [852..904m] @(49.1350,19.3497)
72581/44939 cov=100.0% [849..985m] @(49.1332,19.3497)
72580/44940 cov=100.0% [929..1025m] @(49.1314,19.3469)
72580/44941 cov=100.0% [890..993m] @(49.1296,19.3469)
72581/44940 cov=100.0% [864..985m] @(49.1314,19.3497)
72581/44941 cov=100.0% [838..929m] @(49.1296,19.3497)
72580/44942 cov=100.0% [869..960m] @(49.1278,19.3469)
72580/44943 cov=100.0% [810..910m] @(49.1260,19.3469)
72581/44942 cov=100.0% [819..892m] @(49.1278,19.3497)
72581/44943 cov=100.0% [777..869m] @(49.1260,19.3497)
72580/44944 cov=100.0% [810..914m] @(49.1242,19.3469)
72580/44945 cov=100.0% [840..917m] @(49.1224,19.3469)
72581/44944 cov=100.0% [767..840m] @(49.1242,19.3497)
72581/44945 cov=100.0% [806..855m] @(49.1224,19.3497)
72582/44930 cov=100.0% [1083..1193m] @(49.1494,19.3524)
72582/44931 cov=100.0% [1024..1187m] @(49.1476,19.3524)
72583/44930 cov=100.0% [1078..1185m] @(49.1494,19.3552)
72583/44931 cov=100.0% [1023..1184m] @(49.1476,19.3552)
72582/44932 cov=100.0% [1023..1155m] @(49.1458,19.3524)
72582/44933 cov=100.0% [1024..1137m] @(49.1440,19.3524)
72583/44932 cov=100.0% [956..1076m] @(49.1458,19.3552)
72583/44933 cov=100.0% [943..1072m] @(49.1440,19.3552)
72582/44934 cov=100.0% [1033..1101m] @(49.1422,19.3524)
72582/44935 cov=100.0% [1012..1094m] @(49.1404,19.3524)
